nome_produtora,sk_company_id
Chicken & Egg Pictures,7be379591a95a969a86664c3cbcd07bc9d478c758c02d49b209dfb2426a527fc
Magic Mountain Studio,02779b339f007eaac9cd2c30ebe81d14bb8f4e37ba41abfdf9403de7fa7d8eb6
Otto Films,2f362790af707c20dc4fb0763b81ebf28e2328e3e2337dbde7d35adf0f0b844b
Joule Entertainment,e1a1b6331ae244c9a4f8d1fbc858db91f326beb7a3c83629a60f8db78fe1dc40
Comedy Dynamics,43518f53849d9b35a5eae8112363a81241ddbd1e82080f4deeb7a435d6436c3f
Praxinoscopio Films,36521d93c0dad713d8ecbc116b082f37d84db3f72c3fed5069d4a8798be3a33c
Unlimited Stories,73e2a101bc84aee0bebee0d1d46cc9df08fc89c972cdbe161670de9286abba4e
Bricolagista!,81ac50b275834e03125995b051b4ad883b65fbf01860ab612e3d91789744befb
G-base,d71661f2f6a22d1db6f59f1fac6e9c721c65a2a46ef2d61e63fc76162b70897e
Lithuanian Film Center,c5ccdea0072c592cd3b82587f681b6cf49762996b8b96ce3a3cb906751bf947b
Aconite Productions,6acd7f0664e5ccd7873830f487846cca8f43dfc833b7f14c66e1ef6167b47c70
Radio Silence,8895dfe290bd2c79202be99713e2cba6799661e284e3a57f1145fea97ce2f8cb
Unannounced Film Company Ltd.,4583ec2d1e1933cbacb0355a14e11c5c5fa1469082c0a4a2e4411728336b5061
Cinesite,acff53ff7eaac2ca103d3d710b2b6f8967d6bbe6e51c3bc36dd03ec87b6d6011
All Media Company,5d3c1e92ae598ee07c0b1cb6cce2832dbfebb8e8a3e75898357d17c8924d867d
Chapka Films,8fd5011e4d8350eb0d89ae642fe9b4d01d0b7592082a3d133500302e04f0272c
And Chris (chris Milner,545bfb1af251bb62f83301d065bb9376d22eb9ac8cf7d37d867d3b539c10421f
Pandora's Box,3c60357bc427f16bc902d87c2d97979a20156083d7e25678b65f5c22ba68c75a
Nephilim Producciones,35aceb0f9d5fe10fbbc7be9a39c8f00edbcc3addb59dfe9072bec42bfd100369
Lenticular Films,faf1b2810808c8c91d9700ebb3c817fac51ceb9305e2ff3ba89a5db9c3c44de5
Asian Shadows,0ab14ac5571cc608c030e62b4fdb821c7d40e2e18758771b5c5ad2550ee419a5
Hafaple Films,0cee608284545583a06295f86d5669bc0bcc16da7c23fad96a6081cebff62205
Dmc Film,58790ce054f5b385dcfd36dd7434de24b0dc1514d7c9141ae1cb5e3a09af2ecc
Telespan 2000,eda9ea926c9e2f0f639a1ad406331590b83856cf03a5c4ebdefc97ccd488d352
Fabfilms,b9ef37892937593fcb9932063da5f3831116f0917185f7b9f399224499dfb1d1
Black Mandala,f7347c795e9ef5289285ba41735e73d4334ff7e4a0bc9af3dfdf6e00c1cd0c87
Dutch Tilt Film,ca6ab84fcddeff8ed323d292a16c17032bb49fd8efc1bac2e4149c18ec2c62a7
Empatia Cinema,9165c11e1cd1ec74895cb3ab53614327ecd0252838ada8a17e77fd79873cd473
Leeway Collective,e5160b8d68abdb1da44ac2ea9bc15bbfe8a3a6a8171332dca500dbd7428c1db2
Extrasensory Pictures,04ea92c0ea52ce40c5d30ff8b7b7f4c2ab47e9257fb359a1d86b24ea3bd2bf57
Chorki,8bc8c98617fe0eefdf631733ad8cdb464abfb516cd691bd0d7fdd09eeeb5b035
Contemporary Ukrainian Cinema,2b9157b5361f8991ed84499b7f4befb340f01dbf4de765d4a8cc2ed78544c077
Nqv Media,03e04f5c60ebbbccebf7e5a4ffbd0aa564c4ede6e340ba329299c687323674b7
Focusfox,b3bd2f22ae648d9a901cbed56745e92d1843589c841a4828b7ae5dc967b16273
Srg Ssr,78ec90acc07af2796d1d1fa001a78d4e9d5f9940fe065acdb77e4cd0f0a58412
The Mark Gordon Company,4ce9d4c6d0283fc149f90f8587d941fa4ac18814de066502114259acc8a67ba7
Cinema626,db737bf6a11d6ab2527d9398cfca34afd29db3fbf212754104728db4634084af
Zeitun Films,6ea65c2a90d96eb2a699df6576fa705bf76f80d3a8bd336e5eccf4a00be76e39
San Manuel Band Of Mission Indians,9477397601f994d4c330e318077aa49fe40996c3f8c84647845d8fba42994ae7
Dope7 Media,d3d6d9ddfe315fa39c7c06ae22f9d9f802de7f766813fb3933d77e304abc752e
Central Partnership,e3b6b633b92d1a204fe0a09359475476fb477bba85ab7180a1f3570fd26ccae1
Second Sight Films,03bd3a8233f24def02e25705191c34c1311862c0ace763a9ec75f4aa7aeda6a2
Pont Neuf Productions,57d265b798a3af7d01edf06451022c0895add16dabd0b465f17d9b9ba57d22f2
Bita Film,d1d8d7f6528c5de34519f0706d15449a3e29e8f6bac6d8ade685250a71632adf
Marvel Studios,db43c909d4de09d8c237ed8e0d38f5a0ad6b21c3a2b37eb1fd75f08895f5eeda
Nfl Films,f4afcce55c25a370b0bfee0b3e1eb4572991e0a98cbf3602eccac944ec91854b
Breaking Fate Entertainment,ab34aad1b32f5dae7c7dee4a761d9e754f59097a16d80a86a3d5df3b17688de2
Bloody Disgusting,950ef96ecd775217beb30b92639665f6c76b3f6c6cd434b9dadd5b6c0cd0c4a0
Imperative Entertainment,12cba27a6e1c43dbd62e851f1665454b859d997cde91cd68f7c6f43119897f0c
2:1 Film,2f7034d96dd77a031c0363c762f6352072ecc2ac3227e22881e52372a4d7f313
Goalpost Pictures,8149f4528bdcd2919ed8c6b258e5a5b90b8d6bcd0cbb0326fb46642a1c7f641a
Road Movies,e71d311c294f71ebfd45d4be6f44ca390150e01b68a4057c22d3588ca33fee2e
Centre Pompidou,02939caafed76788a51b646f7a41acbff343ff65ec629e2464dbef787fee0f25
Good Universe,3942c4048f189224610efa0c795d48c93fb8703f321475ae9d23a15e24d95308
Legendary Digital Media,af70194c29f096766411955e62ba38ff8840f043bd0486cdee1124d79ef5b741
Wanted Sound & Picture,9c91300ccb0283b3156aff6cb3cd1dc529d6fc8f05f1e82791b35242d59b77b4
Nordsvensk Filmunderhållning,fd87021d8e75c186233cedc4b6661ae35694bd9a2414915dcb154310a1bab2f9
Unicornio Films,ff3aac3f2618865387a10aca64cae03376a6c3750bf6563d578540e8df3936d0
Torridon Films,5682d6baafb06c4ee7832e9aa7b5e3aceb7700b527df8a8fb6ebd1efe51b0acc
Mr. Monkey,894f1863a69cf9ec4b6658e060602503ac2096986425c5855aa812624d8725d4
Kona Film Corporation,6b1e6a8f76c30a65d4724c80865078b1b2080113cfbc53aa1eff1285d3cd5297
Golden Girls Filmproduktion,8ff712738eff4c26952eeaa7653c82d44cdf45487fc9f9eb500b9d74042b1d39
Activist38,696802a0555283a6595bb3d632a382e292276b5c37d88295b6c076627fa70e9e
Watch Me Productions,c7ea0401852097e65690cb5cace5fed400615e2ef07096785002431606b81c18
Diffferent Entertainment Sl,c75c61da5f72d74351aeda89fef3fe3cc4fac3d40ca7e35e95b784d945483542
Nanook Entertainment,6daa0a4ea2f101d252166ca05dd4087c20a65608dce2fa383098e8efd18b3442
Sophie Dulac Productions,38b538882310f72ee30445e8756a550ea29f50f1f90142194ab7f4898146f6d3
Tierra Grande Productions,1edf82601d2eb0e8a24f1e0707c6d400b6bf5751a2045574e73acdddb6e7cc76
Fred Berner Films,6996ffb386dceb77bb135d8f6073bd71e63667777f8311079bf6f236bb87fd05
Limagorium,a4cabc6c6537cd5ebe4c04a509dc1fa33e19d8a25640cda0a6721141a61e556b
Scrim Entertainment,5050bc02aac92c3072612d119efefd4476f22e5451bc2271b48ec93b08163331
300 & Co.,a5265845b5999bb30100f391f8d8e5b05eac9e6cb52da2cfe82c7f399fff9a95
Nautican Entertainment,73387fb5349d7f2b8ca04dbf20ebac1261d7318d494dde40f67fcdd4858634af
Proac,43832546da8ae59037002b9f1229d2d0a8ac08f53c9921998394f8d6c68b1a6c
Comme Des Cinémas,f4f9f3014d9376fac32f99f1086e71610ad69928312ee93d3bfeae6090fda3f6
Cj Entertainment Turkey,be147653f55ffe86e278f4695a075869662b59f0d64fa641f2e244231f86668c
Surrender Cinema,5d2ba2ac0da46133642e1fc45f8b6cde8455574851766eea987ffc85ddc1ca66
Global Digital Releasing,dc8e2940a7356272c16ab96d25048b2c46bd2c47afa77328735974e5b9cad7d2
Tokyo New Cinema,4a8e1b8d869be507639e5201b9c96dc7b37e522efd12aef35c6ebfbac76b6fd3
We're The Weirdos Productions,eeef8ae668d4ff59d5d0c2a11c398145012e7e77a6f121246a92b1d9bad2d4cd
Broadview Tv,78b95606ae88538b5c024337e5bc0c8f8dd04e8e9dcd4a970bb2c04cc6fa60eb
Iota Production,e1e21172fbbd8c6cc279979b932c6200b60e26293aa26fc46479c51910070474
Les Films Du Lendemain,386108b3f6509c1bdb0ab863c2cbeed99f287dc4eb8abb2283806219df494797
Tietê Produções Cinematográficas,ed618125346c0f464b799e20d423b32f56c4c4858ec75d9a5477b74498b2d172
Mvp Pictures,425b22a878a3116d57e31204574a95c25379ccdb9410a02a95bb5c050f97b49e
Mina Films,ce8c9cf89b73512c3aba904b0be9d9957916983e84bf71509779282f5526f7ea
Norsk Rikskringkasting (nrk),7897d93e4c8ceca977c11c6ea6daa6bf112e6f47a74a49f02ea1f4b0520c2db9
/ebbfi9j56kryflj3nxlwwd8mmj1.jpg,867b8aac85289cc2711870a3dfdf9a5bfac64289f76d88cb93cb849cbdc701e2
Filmbasen Film,665797a09b1153d1ee1726490606a7de79998c7f3b6e90e7e06cdcec7fb14fe1
R-lines Productions,a266ea2d36a84ad60cae54275f2d47acdbf11dbf53ed89df5b3e7600f4bf2c57
Eicar,a909d15345472de39f4c83d7fe90d03b56f6f17523aab8f3e528e738145c8157
Atalante Oy,9993ab59fabc28ca7c0b1005064e8cc6c1c0e441deafaa37636de5bd202d972d
Dentsu,7848db8bdf9084030c3a73deb9daaec5e88558198677c06e9f6cfa3a9f4e0990
Maus Da Fita,102aca7984ba89b373f49ccf198db19e7ce240090faf999489e74e1ee0cb5c8c
Proximity Media,66f465eb5bda59e98c950eebd58c942279319e189391efdc485e3ece677fa98d
Sehstern Filmproduktion,c6559b4765dc236aee0e219483b06a2703f739a4d978dd54cbb60e2918ba3b0a
Ja Entertainment,3361d1c6058f8b0b99aae1806b0cd9a61bd94cfc0bca11f8e14b321610492b61
Rizwan Entertainment,4752ca2df0b70fc010c77f28efee105a05d62829b7f38c21cb8e5e422d1cca67
Bobb Films,9d809fdb4b9b1fe031e981731efa723f5f6691195739d8285b64c3ab3da76303
Mondina Films,c3592c8f0aa32aaa16d1a8606d904ac1151a56191d755103d7fb1d7708b06aff
Poplar,454c2491f92057cf7f1be4fbcd19cab954dc5b1d266d1e249bed68d87034e74a
Shadow Films,58df05e913efe7c987d2e549255f9fcef2640428b2913573fe4464e44eebb0d3
Dudka Films,1aad1bf18bfc57ac57bf4ddbc278b17be106218c5738309293b94a5666c8f338
Point Productions,a88127af810d28d4b7bf0182be68c0f6ad9ef40c5b6432f51b67b83c864ff188
Animation People Studio,3f7a4b2a1e9e90708bbb223114a10dae30cd24c7f52f22c70f604e100f3a2c44
Dakota Entertainment,15a7fc79c83bb132c0651dbcdadcf3ac817cd6d330abcf86e32f8a8227678cb9
