sk_movie_id,sk_company_id
200a6fcc02c0f515fa2ca09da8b62aa24267c041b14baf9fe142aa14d1b10502,06e51a382a9c559f9c62eda2fe8d52ad2798dbfedbcdff9250baeccac0895d8c
42314b48910f23281e1106db02ffdafb85b96aad003e3cffaff657ff576bb7aa,d5e1d8b2db95242716114867b1ed711da6e1588cba42058f3d1dac5e57aab3a1
64655972150f3f72140c08cb2731638cfcb82b6e1a2dde9642f88446ba3f1a8c,18e828f56a79370b8f052d6981a10d4737a9e4833434622c2277255d6f6a27e4
69376a9f46719f6067fc5428b38d8fbb2f76e234c60ad914ec6bb7d3b3d94896,01fbec622960231e0a5b727b8a8dc6f6c8f6dcf26872c259b6314b67b67aca02
084c2325f323cacf08b60958a204235cc1ed42d21c0fcd1df1d151d67a1530e8,645c641a1bcfce90c9ae7472f13f278a4c37d7ad559f886a2258321d91898d22
702a6f94993585b7a1429d73b1f6f60781ef258986af6324b84b74e151f372f6,d0b4b25aa4f8ae90d25d34941a357cd2a5af125556d60dd3b4b60d4bccb590bd
d90b49a502cba3ab19ee925b72d8fee5eb2bcbc7f53967b6cbbf80bf9de797a1,def0b5fa64d79666a00aea0c61266df19013f87f27bb0bc0db4cb6f2abc021ca
fc0ce7ceb74c22d4a4f1f55246f9005b3dad26952e4e51dc07aacf8e7ef6c468,b6792e16dac24617548ebdc64c85a62f2ffdb6a5c203b5a7b4cef15d2b7466af
8f08e17a100e17d6014d4689566529a13696bdb8aed2cc7bebf08e256aa82f5b,8f4d9f2c55712d8ae4cea1ea2cd9b8b70218431c19769aff5f6605f6a0381f28
661968aa91e1a61e103320757a0c155803b20a8b570c9cc7a51706f9dfc9689e,fb53a01c505ea9d93ef400463f76b3b07894705eb7b6efd770accb0bd91c2bf8
4283c3cb7dfe6c54c9d2eb69296c0ae7fed3c9c7831deb505063991bd04d0474,a88127af810d28d4b7bf0182be68c0f6ad9ef40c5b6432f51b67b83c864ff188
20370c2dd8dfeeb2a5ffef3c31b6d79bcecc206fc6013acd779f5160d7997231,d1a3204ac1b22ff2963c46ba46230cb0342125f65580707fa445de82931d61a2
73cc4924071ad60f67457f0c04cc85d8fcd5442a6128181731b24d4c9934bc3d,e5ff83011d9599e7ebfc7eaad46a3119b3b1b385822c25076665291ec4912b90
c6cc4e4a93c920469d32078e95b01694ab29ef4093d779996b4028e47d34441d,d095c383420cbb180b228f5c66f776e4d73a067b519a1808ff81d840712706b5
